"payment_id","purchase_order_id","supplier_id","amount","payment_date","payment_method","reference_number","status","bank_account"
55,148,5007,29264.58,"2021-10-04","Cash","PMT-148-7951","Paid","5368-4175-1855"
56,151,5018,116140.55,"2021-09-18","Bank Transfer","PMT-151-1668","Paid","5585-6534-5440"
57,152,5008,66298.21,"2021-09-25","Cheque","PMT-152-9603","Paid","2573-1016-4997"
58,154,5012,212158.96,"2021-09-03","Cheque","PMT-154-3986","Paid","7492-8750-1143"
59,156,5007,109662.51,"2021-08-17","Bank Transfer","PMT-156-4459","Paid","5064-1705-8366"
60,158,5007,145416.4,"2021-10-14","Cheque","PMT-158-8389","Paid","3387-2165-8641"
61,162,5007,48723.01,"2021-11-03","Cheque","PMT-162-7257","Paid","8085-4094-3436"
62,168,5024,11231.22,"2021-10-22","Cash","PMT-168-8420","Paid","7058-9332-9023"
63,170,5026,130861.88,"2021-09-24","Cash","PMT-170-6294","Paid","2372-4764-5049"
64,171,5001,252573.15,"2021-10-26","Bank Transfer","PMT-171-8844","Paid","1910-6480-6621"
65,172,5010,191536.99,"2021-10-05","Cash","PMT-172-8402","Paid","7134-9895-4270"
66,174,5029,154014.69,"2021-10-17","Cheque","PMT-174-5195","Paid","6974-9328-2146"
67,178,5021,94986.71,"2021-11-16","Bank Transfer","PMT-178-1982","Paid","5345-7763-2130"
68,182,5011,264779.12,"2021-11-19","Cash","PMT-182-4812","Paid","6887-6021-4780"
69,185,5001,48354.85,"2021-10-15","Cash","PMT-185-1323","Paid","5700-3872-8284"
70,193,5004,48056.21,"2021-12-21","Cash","PMT-193-7043","Paid","2491-8500-5034"
71,194,5017,12547.56,"2021-12-13","Cash","PMT-194-4948","Paid","7749-7547-9530"
72,195,5006,357540.42,"2021-12-12","Cheque","PMT-195-9688","Paid","2388-1919-5060"
73,196,5024,81466.27,"2022-01-06","Bank Transfer","PMT-196-1609","Paid","6292-5236-2907"
74,198,5021,47596.98,"2021-11-24","Cheque","PMT-198-1748","Paid","9456-1569-4710"
75,199,5006,244982.33,"2021-12-20","Bank Transfer","PMT-199-6404","Paid","1902-5122-1434"
76,200,5001,226042.78,"2022-01-11","Bank Transfer","PMT-200-8751","Paid","7630-3810-9374"
77,205,5017,79819.51,"2021-12-30","Bank Transfer","PMT-205-5398","Paid","7494-8771-2276"
78,207,5008,214303.74,"2021-12-22","Bank Transfer","PMT-207-8511","Paid","7966-2120-8925"
79,208,5027,38038.91,"2021-12-16","Cash","PMT-208-8712","Paid","7636-8179-9801"
80,210,5006,153841.76,"2021-12-16","Cash","PMT-210-8405","Paid","9011-8398-5986"
81,211,5023,204174.21,"2021-12-05","Cheque","PMT-211-7193","Paid","8509-8628-3215"
82,213,5027,139316.61,"2022-02-03","Bank Transfer","PMT-213-4300","Paid","1549-9553-5209"
83,215,5012,375404.7,"2022-02-01","Cheque","PMT-215-8024","Paid","8268-8138-2548"
84,216,5008,12825.65,"2022-01-29","Bank Transfer","PMT-216-7302","Paid","8988-5473-6427"
85,218,5025,35422.68,"2022-01-28","Cheque","PMT-218-3965","Paid","8364-5810-6095"
86,219,5007,144998.51,"2022-01-22","Cash","PMT-219-3273","Paid","5327-5077-2455"
87,220,5008,225503.36,"2022-01-26","Bank Transfer","PMT-220-9955","Paid","1180-9878-1252"
88,222,5008,188690.65,"2022-01-23","Cheque","PMT-222-3747","Paid","6439-8493-2696"
89,223,5006,26949.21,"2022-01-18","Bank Transfer","PMT-223-7458","Paid","9203-6768-2900"
