"bonus_id","employee_id","bonus_type","bonus_amount","bonus_month","bonus_year","payment_date","reason","bank_account"
29,1087,"Sales Target",12077.99,7,2022,"2022-07-12","Sales Target Bonus for excellent performance","6828-1368-7631-1722"
30,1030,"Eid",28280.64,7,2022,"2022-07-19","Eid Bonus for excellent performance","8964-6689-6496-2661"
31,1010,"Special Achievement",29738.25,11,2022,"2022-11-18","Special Achievement Bonus for excellent performance","7518-4598-1229-2902"
32,1124,"Eid",12323.87,10,2022,"2022-10-18","Eid Bonus for excellent performance","7206-1012-9384-2132"
33,1079,"Annual",601858.68,3,2022,"2022-03-10","Annual Bonus for excellent performance","4957-5787-3490-3320"
34,1210,"Annual",280081.51,5,2022,"2022-05-10","Annual Bonus for excellent performance","5547-4783-6760-2273"
35,1096,"Annual",57322.66,4,2022,"2022-04-15","Annual Bonus for excellent performance","7778-1061-6098-6231"
36,1063,"Annual",75175.03,11,2022,"2022-11-10","Annual Bonus for excellent performance","4795-4930-6548-7908"
37,1045,"Annual",54141.98,12,2022,"2022-12-11","Annual Bonus for excellent performance","7587-9232-7219-4924"
38,1159,"Eid",156686.35,9,2022,"2022-09-10","Eid Bonus for excellent performance","6028-7625-1836-7149"
39,1206,"Eid",39028.11,11,2022,"2022-11-11","Eid Bonus for excellent performance","6589-6405-5890-9587"
40,1193,"Performance",70260.73,7,2022,"2022-07-10","Performance Bonus for excellent performance","6454-9533-2206-2893"
41,1072,"Eid",36419.02,3,2022,"2022-03-19","Eid Bonus for excellent performance","1951-6924-1853-9552"
42,1053,"Performance",45367.99,3,2022,"2022-03-15","Performance Bonus for excellent performance","4339-8873-4715-7413"
43,1187,"Annual",38816.19,5,2022,"2022-05-14","Annual Bonus for excellent performance","8326-2409-3276-8550"
44,1075,"Sales Target",73896.36,10,2022,"2022-10-11","Sales Target Bonus for excellent performance","7556-2480-5488-5399"
45,1120,"Special Achievement",70215.13,8,2022,"2022-08-17","Special Achievement Bonus for excellent performance","5710-4570-2546-1123"
46,1203,"Sales Target",88572.5,1,2022,"2022-01-16","Sales Target Bonus for excellent performance","8886-5585-5594-8597"
47,1169,"Annual",129832.14,3,2022,"2022-03-13","Annual Bonus for excellent performance","7450-7013-1537-9298"
48,1031,"Eid",55187.8,8,2022,"2022-08-19","Eid Bonus for excellent performance","5878-7394-8526-2206"
49,1162,"Annual",85066.48,11,2022,"2022-11-20","Annual Bonus for excellent performance","1320-8191-6382-5800"
50,1176,"Special Achievement",40667.28,5,2022,"2022-05-19","Special Achievement Bonus for excellent performance","4197-6561-2839-4334"
51,1043,"Eid",134146.27,3,2022,"2022-03-10","Eid Bonus for excellent performance","8934-1935-1566-9508"
52,1083,"Annual",72192.06,9,2022,"2022-09-11","Annual Bonus for excellent performance","8868-8166-6123-6789"
53,1111,"Sales Target",56397.94,11,2022,"2022-11-17","Sales Target Bonus for excellent performance","4430-8384-5494-9717"
54,1208,"Annual",97418.72,4,2022,"2022-04-16","Annual Bonus for excellent performance","9097-3621-2908-6783"
55,1145,"Special Achievement",68773.06,9,2022,"2022-09-10","Special Achievement Bonus for excellent performance","8159-7418-2529-7450"
56,1049,"Annual",340301.83,2,2022,"2022-02-14","Annual Bonus for excellent performance","2991-5127-4678-7208"
57,1110,"Eid",34320.8,10,2022,"2022-10-11","Eid Bonus for excellent performance","4718-6984-4369-5922"
58,1089,"Annual",183320.67,6,2022,"2022-06-14","Annual Bonus for excellent performance","8636-5647-8451-7854"
59,1116,"Sales Target",30487.21,10,2022,"2022-10-10","Sales Target Bonus for excellent performance","8664-7018-5361-2383"
60,1181,"Eid",40501.24,12,2022,"2022-12-13","Eid Bonus for excellent performance","7147-7766-7145-2776"
61,1166,"Sales Target",45176.36,5,2022,"2022-05-15","Sales Target Bonus for excellent performance","3066-3922-2623-1279"
62,1207,"Performance",18539.94,10,2022,"2022-10-16","Performance Bonus for excellent performance","8367-8044-7841-1017"
63,1035,"Special Achievement",19476.94,3,2022,"2022-03-13","Special Achievement Bonus for excellent performance","7812-2734-5267-5260"
64,1013,"Special Achievement",20425.13,8,2022,"2022-08-17","Special Achievement Bonus for excellent performance","7939-7046-2534-2084"
65,1103,"Annual",95018.68,5,2022,"2022-05-13","Annual Bonus for excellent performance","8892-7076-6752-9610"
66,1108,"Eid",33404.49,6,2022,"2022-06-12","Eid Bonus for excellent performance","6728-6938-5004-1097"
67,1039,"Eid",81631.34,12,2022,"2022-12-12","Eid Bonus for excellent performance","3479-7892-2754-7173"
68,1038,"Eid",94016.26,4,2022,"2022-04-12","Eid Bonus for excellent performance","9140-6852-9686-9302"
69,1014,"Annual",104182.64,10,2022,"2022-10-19","Annual Bonus for excellent performance","2435-4461-6344-4102"
70,1156,"Sales Target",10731.78,11,2022,"2022-11-20","Sales Target Bonus for excellent performance","8997-7267-7224-7759"
71,1091,"Eid",33318.09,6,2022,"2022-06-17","Eid Bonus for excellent performance","1739-2056-7850-4033"
72,1069,"Eid",30852.89,3,2022,"2022-03-15","Eid Bonus for excellent performance","6274-4243-7953-4624"
73,1158,"Performance",54987.34,10,2022,"2022-10-13","Performance Bonus for excellent performance","8271-6768-9400-9459"
74,1029,"Special Achievement",113349.11,5,2022,"2022-05-12","Special Achievement Bonus for excellent performance","8926-4691-3915-6005"
75,1195,"Sales Target",51969.53,1,2022,"2022-01-17","Sales Target Bonus for excellent performance","6989-1271-7013-3904"
76,1042,"Sales Target",17072.53,10,2022,"2022-10-14","Sales Target Bonus for excellent performance","6965-1815-9076-4874"
77,1002,"Sales Target",53520.79,11,2022,"2022-11-18","Sales Target Bonus for excellent performance","7974-8834-9764-1718"
78,1153,"Eid",45311.22,11,2022,"2022-11-19","Eid Bonus for excellent performance","6106-1450-2585-9166"
79,1073,"Sales Target",50864.85,6,2022,"2022-06-19","Sales Target Bonus for excellent performance","7782-5470-2227-2488"
80,1172,"Annual",105319.67,11,2022,"2022-11-14","Annual Bonus for excellent performance","1295-8635-8298-6199"
81,1194,"Sales Target",91023.58,6,2022,"2022-06-18","Sales Target Bonus for excellent performance","3392-4905-6967-7695"
82,1160,"Annual",61359.8,3,2022,"2022-03-19","Annual Bonus for excellent performance","6611-1283-3836-3960"
83,1204,"Eid",115967.15,6,2022,"2022-06-14","Eid Bonus for excellent performance","6367-9134-1759-5624"
84,1001,"Sales Target",91111.48,12,2022,"2022-12-19","Sales Target Bonus for excellent performance","9089-6266-7939-7385"
85,1135,"Sales Target",24238.88,3,2022,"2022-03-15","Sales Target Bonus for excellent performance","7253-4220-9837-7945"
86,1022,"Sales Target",27585.81,2,2022,"2022-02-12","Sales Target Bonus for excellent performance","8627-4033-2512-3845"
87,1184,"Sales Target",25005.77,10,2022,"2022-10-11","Sales Target Bonus for excellent performance","6927-7027-6613-8356"
88,1062,"Eid",43024.76,9,2022,"2022-09-11","Eid Bonus for excellent performance","3763-4587-8494-1828"
89,1129,"Sales Target",51473.04,4,2022,"2022-04-15","Sales Target Bonus for excellent performance","9169-9758-5901-7956"
90,1094,"Eid",45720.89,7,2022,"2022-07-12","Eid Bonus for excellent performance","9312-5527-5434-8709"
91,1199,"Performance",26456.16,11,2022,"2022-11-10","Performance Bonus for excellent performance","7761-5406-1406-2620"
92,1144,"Sales Target",122004.82,4,2022,"2022-04-13","Sales Target Bonus for excellent performance","4102-2217-9983-1753"
93,1185,"Special Achievement",52636.15,12,2022,"2022-12-17","Special Achievement Bonus for excellent performance","7721-6578-2032-8843"
94,1037,"Eid",32793.98,4,2022,"2022-04-12","Eid Bonus for excellent performance","4082-1723-2364-4714"
95,1173,"Special Achievement",63453.82,12,2022,"2022-12-15","Special Achievement Bonus for excellent performance","2741-9686-5486-7529"
96,1202,"Annual",113133.57,3,2022,"2022-03-11","Annual Bonus for excellent performance","1904-3445-7439-6514"
97,1122,"Annual",141873.63,10,2022,"2022-10-12","Annual Bonus for excellent performance","6574-6363-7259-2619"
98,1068,"Sales Target",15072.7,11,2022,"2022-11-10","Sales Target Bonus for excellent performance","2643-7460-5486-7873"
99,1065,"Eid",43022.9,2,2022,"2022-02-20","Eid Bonus for excellent performance","5121-4522-5912-1091"
100,1064,"Sales Target",55710.49,8,2022,"2022-08-12","Sales Target Bonus for excellent performance","4465-9222-9672-3432"
101,1157,"Annual",87619.32,6,2022,"2022-06-16","Annual Bonus for excellent performance","5935-5352-2006-6290"
102,1011,"Performance",175143.72,9,2022,"2022-09-17","Performance Bonus for excellent performance","1477-1709-2368-2634"
103,1163,"Performance",26929.79,6,2022,"2022-06-11","Performance Bonus for excellent performance","9834-8960-3829-4914"
104,1034,"Special Achievement",125050.0,5,2022,"2022-05-18","Special Achievement Bonus for excellent performance","9327-5397-8312-2073"
105,1004,"Sales Target",24011.1,10,2022,"2022-10-18","Sales Target Bonus for excellent performance","5206-8806-5832-9971"
106,1040,"Sales Target",21464.11,9,2022,"2022-09-10","Sales Target Bonus for excellent performance","7221-7587-6733-2145"
107,1102,"Eid",41514.04,12,2022,"2022-12-19","Eid Bonus for excellent performance","6382-8647-2181-7934"
108,1018,"Performance",68161.89,5,2022,"2022-05-13","Performance Bonus for excellent performance","7515-6923-1128-6362"
109,1078,"Sales Target",16917.26,11,2022,"2022-11-19","Sales Target Bonus for excellent performance","8010-7036-3690-8699"
110,1170,"Annual",247326.61,4,2022,"2022-04-12","Annual Bonus for excellent performance","3198-4185-9965-8326"
111,1165,"Annual",18318.3,7,2022,"2022-07-16","Annual Bonus for excellent performance","3299-5101-6951-6071"
112,1211,"Eid",58454.13,9,2022,"2022-09-20","Eid Bonus for excellent performance","2795-5191-2028-2467"
