"salary_id","employee_id","month","year","base_salary","house_rent_allowance","medical_allowance","conveyance_allowance","gross_salary","provident_fund","income_tax","other_deductions","total_deductions","net_salary","payment_date","bank_account"
84,1006,12,2022,40893.78,6134.07,2044.69,4329,53401.54,4089.38,0.0,1427,5516.38,47885.16,"2022-12-27","2258-6170-7752-4010"
85,1007,1,2022,35648.82,5347.32,1782.44,2082,44860.59,3564.88,0.0,525,4089.88,40770.7,"2022-01-28","5105-3166-6121-5795"
86,1007,2,2022,38569.95,5785.49,1928.5,2151,48434.94,3856.99,0.0,554,4410.99,44023.94,"2022-02-25","5105-3166-6121-5795"
87,1007,3,2022,36743.28,5511.49,1837.16,3118,47209.93,3674.33,0.0,824,4498.33,42711.61,"2022-03-26","5105-3166-6121-5795"
88,1007,4,2022,38072.88,5710.93,1903.64,3087,48774.45,3807.29,0.0,1176,4983.29,43791.17,"2022-04-27","5105-3166-6121-5795"
89,1007,5,2022,38841.69,5826.25,1942.08,2774,49384.03,3884.17,0.0,822,4706.17,44677.86,"2022-05-26","5105-3166-6121-5795"
90,1007,6,2022,38035.09,5705.26,1901.75,2476,48118.11,3803.51,0.0,1212,5015.51,43102.6,"2022-06-25","5105-3166-6121-5795"
91,1007,7,2022,38194.51,5729.18,1909.73,3761,49594.41,3819.45,0.0,809,4628.45,44965.96,"2022-07-25","5105-3166-6121-5795"
92,1007,8,2022,38372.55,5755.88,1918.63,3426,49473.06,3837.25,0.0,1461,5298.25,44174.8,"2022-08-25","5105-3166-6121-5795"
93,1007,9,2022,36541.63,5481.24,1827.08,4254,48103.96,3654.16,0.0,1640,5294.16,42809.79,"2022-09-27","5105-3166-6121-5795"
94,1007,10,2022,35618.31,5342.75,1780.92,2103,44844.98,3561.83,0.0,1395,4956.83,39888.15,"2022-10-26","5105-3166-6121-5795"
95,1007,11,2022,37685.32,5652.8,1884.27,3278,48500.39,3768.53,0.0,1337,5105.53,43394.85,"2022-11-28","5105-3166-6121-5795"
96,1007,12,2022,36367.19,5455.08,1818.36,3033,46673.63,3636.72,0.0,1816,5452.72,41220.91,"2022-12-25","5105-3166-6121-5795"
97,1008,1,2022,43978.65,6596.8,2198.93,3955,56729.38,4397.86,0.0,1915,6312.86,50416.51,"2022-01-25","1680-9371-9490-8838"
98,1008,2,2022,42548.6,6382.29,2127.43,4278,55336.32,4254.86,0.0,1694,5948.86,49387.46,"2022-02-27","1680-9371-9490-8838"
99,1008,3,2022,41238.15,6185.72,2061.91,4019,53504.78,4123.82,0.0,538,4661.82,48842.97,"2022-03-25","1680-9371-9490-8838"
100,1008,4,2022,42775.07,6416.26,2138.75,4189,55519.08,4277.51,0.0,1966,6243.51,49275.58,"2022-04-25","1680-9371-9490-8838"
101,1008,5,2022,41938.02,6290.7,2096.9,2802,53127.63,4193.8,0.0,680,4873.8,48253.83,"2022-05-26","1680-9371-9490-8838"
102,1008,6,2022,43585.84,6537.88,2179.29,4801,57104.01,4358.58,0.0,1750,6108.58,50995.42,"2022-06-27","1680-9371-9490-8838"
103,1008,7,2022,43678.14,6551.72,2183.91,2056,54469.77,4367.81,0.0,1897,6264.81,48204.95,"2022-07-26","1680-9371-9490-8838"
104,1008,8,2022,40602.86,6090.43,2030.14,2419,51142.43,4060.29,0.0,1136,5196.29,45946.15,"2022-08-27","1680-9371-9490-8838"
105,1008,9,2022,43903.55,6585.53,2195.18,4959,57643.26,4390.35,0.0,1717,6107.35,51535.9,"2022-09-26","1680-9371-9490-8838"
106,1008,10,2022,40082.04,6012.31,2004.1,2334,50432.45,4008.2,0.0,577,4585.2,45847.24,"2022-10-27","1680-9371-9490-8838"
107,1008,11,2022,43396.26,6509.44,2169.81,2071,54146.52,4339.63,0.0,1849,6188.63,47957.89,"2022-11-25","1680-9371-9490-8838"
108,1008,12,2022,40052.45,6007.87,2002.62,3208,51270.95,4005.25,0.0,776,4781.25,46489.7,"2022-12-25","1680-9371-9490-8838"
109,1009,1,2022,31738.67,4760.8,1586.93,4914,43000.41,3173.87,0.0,1446,4619.87,38380.54,"2022-01-27","6900-7653-1507-1906"
110,1009,2,2022,31022.14,4653.32,1551.11,2608,39834.57,3102.21,0.0,741,3843.21,35991.35,"2022-02-25","6900-7653-1507-1906"
111,1009,3,2022,30829.48,4624.42,1541.47,3629,40624.38,3082.95,0.0,616,3698.95,36925.43,"2022-03-28","6900-7653-1507-1906"
112,1009,4,2022,32719.46,4907.92,1635.97,4035,43298.35,3271.95,0.0,948,4219.95,39078.4,"2022-04-27","6900-7653-1507-1906"
113,1009,5,2022,31331.85,4699.78,1566.59,4267,41865.22,3133.19,0.0,683,3816.19,38049.04,"2022-05-25","6900-7653-1507-1906"
114,1009,6,2022,31916.67,4787.5,1595.83,2219,40519.01,3191.67,0.0,1297,4488.67,36030.34,"2022-06-28","6900-7653-1507-1906"
115,1009,7,2022,33493.83,5024.08,1674.69,4518,44710.6,3349.38,0.0,1346,4695.38,40015.22,"2022-07-26","6900-7653-1507-1906"
116,1009,8,2022,33334.77,5000.22,1666.74,2507,42508.72,3333.48,0.0,1195,4528.48,37980.25,"2022-08-25","6900-7653-1507-1906"
117,1009,9,2022,33773.26,5065.99,1688.66,4023,44550.91,3377.33,0.0,1235,4612.33,39938.59,"2022-09-25","6900-7653-1507-1906"
118,1009,10,2022,31200.93,4680.14,1560.05,4342,41783.12,3120.09,0.0,1512,4632.09,37151.03,"2022-10-28","6900-7653-1507-1906"
119,1009,11,2022,33882.71,5082.41,1694.14,3285,43944.26,3388.27,0.0,1991,5379.27,38564.99,"2022-11-26","6900-7653-1507-1906"
120,1009,12,2022,31900.04,4785.01,1595.0,4072,42352.05,3190.0,0.0,1919,5109.0,37243.05,"2022-12-28","6900-7653-1507-1906"
121,1010,1,2022,20528.83,3079.32,1026.44,3622,28256.59,2052.88,0.0,768,2820.88,25435.71,"2022-01-26","7518-4598-1229-2902"
122,1010,2,2022,20935.95,3140.39,1046.8,3362,28485.14,2093.6,0.0,1886,3979.6,24505.55,"2022-02-27","7518-4598-1229-2902"
123,1010,3,2022,20155.74,3023.36,1007.79,2989,27175.89,2015.57,0.0,1228,3243.57,23932.32,"2022-03-28","7518-4598-1229-2902"
124,1010,4,2022,20030.77,3004.62,1001.54,3673,27709.92,2003.08,0.0,1572,3575.08,24134.84,"2022-04-26","7518-4598-1229-2902"
125,1010,5,2022,19688.13,2953.22,984.41,3927,27552.76,1968.81,0.0,1094,3062.81,24489.95,"2022-05-26","7518-4598-1229-2902"
126,1010,6,2022,19471.14,2920.67,973.56,4255,27620.37,1947.11,0.0,1362,3309.11,24311.25,"2022-06-25","7518-4598-1229-2902"
127,1010,7,2022,19100.2,2865.03,955.01,4893,27813.24,1910.02,0.0,1577,3487.02,24326.22,"2022-07-27","7518-4598-1229-2902"
128,1010,8,2022,19932.07,2989.81,996.6,3778,27696.48,1993.21,0.0,795,2788.21,24908.27,"2022-08-27","7518-4598-1229-2902"
129,1010,9,2022,20512.95,3076.94,1025.65,2747,27362.54,2051.29,0.0,1109,3160.29,24202.24,"2022-09-26","7518-4598-1229-2902"
130,1010,10,2022,20720.68,3108.1,1036.03,4948,29812.81,2072.07,0.0,1335,3407.07,26405.74,"2022-10-28","7518-4598-1229-2902"
131,1010,11,2022,20224.32,3033.65,1011.22,2218,26487.18,2022.43,0.0,1593,3615.43,22871.75,"2022-11-28","7518-4598-1229-2902"
132,1010,12,2022,20552.77,3082.92,1027.64,3384,28047.33,2055.28,0.0,1774,3829.28,24218.05,"2022-12-26","7518-4598-1229-2902"
133,1011,1,2022,79572.51,11935.88,3978.63,4293,99780.01,7957.25,1478.63,1048,10483.88,89296.13,"2022-01-26","1477-1709-2368-2634"
134,1011,2,2022,81714.35,12257.15,4085.72,3014,101071.22,8171.43,1585.72,1112,10869.15,90202.07,"2022-02-25","1477-1709-2368-2634"
135,1011,3,2022,82668.16,12400.22,4133.41,4617,103818.79,8266.82,1633.41,746,10646.22,93172.57,"2022-03-26","1477-1709-2368-2634"
136,1011,4,2022,80122.77,12018.42,4006.14,3132,99279.33,8012.28,1506.14,1820,11338.42,87940.91,"2022-04-26","1477-1709-2368-2634"
137,1011,5,2022,83972.0,12595.8,4198.6,4853,105619.4,8397.2,1698.6,1799,11894.8,93724.6,"2022-05-26","1477-1709-2368-2634"
138,1011,6,2022,83149.69,12472.45,4157.48,4817,104596.63,8314.97,1657.48,1662,11634.45,92962.17,"2022-06-25","1477-1709-2368-2634"
139,1011,7,2022,84977.86,12746.68,4248.89,4168,106141.43,8497.79,1748.89,1685,11931.68,94209.75,"2022-07-25","1477-1709-2368-2634"
140,1011,8,2022,86285.62,12942.84,4314.28,4431,107973.75,8628.56,1814.28,653,11095.84,96877.9,"2022-08-26","1477-1709-2368-2634"
141,1011,9,2022,84794.37,12719.16,4239.72,4515,106268.25,8479.44,1739.72,1054,11273.16,94995.09,"2022-09-25","1477-1709-2368-2634"
142,1011,10,2022,83017.37,12452.61,4150.87,4405,104025.84,8301.74,1650.87,1416,11368.61,92657.24,"2022-10-25","1477-1709-2368-2634"
143,1011,11,2022,81833.98,12275.1,4091.7,2923,101123.78,8183.4,1591.7,1971,11746.1,89377.68,"2022-11-26","1477-1709-2368-2634"
144,1011,12,2022,82746.29,12411.94,4137.31,4425,103720.54,8274.63,1637.31,1717,11628.94,92091.6,"2022-12-27","1477-1709-2368-2634"
145,1013,1,2022,42357.17,6353.57,2117.86,4943,55771.6,4235.72,0.0,1250,5485.72,50285.88,"2022-01-28","7939-7046-2534-2084"
146,1013,2,2022,43946.07,6591.91,2197.3,4101,56836.28,4394.61,0.0,1649,6043.61,50792.68,"2022-02-28","7939-7046-2534-2084"
147,1013,3,2022,45150.15,6772.52,2257.51,4068,58248.18,4515.01,0.0,1183,5698.01,52550.16,"2022-03-28","7939-7046-2534-2084"
148,1013,4,2022,44699.84,6704.98,2234.99,3166,56805.81,4469.98,0.0,617,5086.98,51718.83,"2022-04-26","7939-7046-2534-2084"
149,1013,5,2022,43117.43,6467.62,2155.87,2269,54009.92,4311.74,0.0,543,4854.74,49155.18,"2022-05-26","7939-7046-2534-2084"
150,1013,6,2022,44306.99,6646.05,2215.35,4713,57881.39,4430.7,0.0,1021,5451.7,52429.69,"2022-06-28","7939-7046-2534-2084"
151,1013,7,2022,45461.97,6819.3,2273.1,2538,57092.37,4546.2,0.0,757,5303.2,51789.17,"2022-07-28","7939-7046-2534-2084"
152,1013,8,2022,43745.53,6561.83,2187.28,3264,55758.64,4374.55,0.0,814,5188.55,50570.09,"2022-08-27","7939-7046-2534-2084"
153,1013,9,2022,42570.09,6385.51,2128.5,2462,53546.1,4257.01,0.0,1003,5260.01,48286.09,"2022-09-26","7939-7046-2534-2084"
154,1013,10,2022,42540.88,6381.13,2127.04,3073,54122.06,4254.09,0.0,1095,5349.09,48772.97,"2022-10-26","7939-7046-2534-2084"
155,1013,11,2022,44794.06,6719.11,2239.7,3923,57675.87,4479.41,0.0,980,5459.41,52216.47,"2022-11-26","7939-7046-2534-2084"
156,1013,12,2022,43553.01,6532.95,2177.65,3155,55418.62,4355.3,0.0,1208,5563.3,49855.32,"2022-12-26","7939-7046-2534-2084"
157,1014,1,2022,65318.71,9797.81,3265.94,3229,81611.45,6531.87,765.94,1394,8691.81,72919.64,"2022-01-28","2435-4461-6344-4102"
158,1014,2,2022,68225.32,10233.8,3411.27,2915,84785.39,6822.53,911.27,896,8629.8,76155.59,"2022-02-28","2435-4461-6344-4102"
159,1014,3,2022,66853.85,10028.08,3342.69,2428,82652.62,6685.39,842.69,859,8387.08,74265.55,"2022-03-27","2435-4461-6344-4102"
160,1014,4,2022,67407.33,10111.1,3370.37,4985,85873.79,6740.73,870.37,1020,8631.1,77242.69,"2022-04-27","2435-4461-6344-4102"
161,1014,5,2022,67002.09,10050.31,3350.1,3842,84244.51,6700.21,850.1,1945,9495.31,74749.19,"2022-05-26","2435-4461-6344-4102"
162,1014,6,2022,66052.44,9907.87,3302.62,4810,84072.92,6605.24,802.62,799,8206.87,75866.06,"2022-06-28","2435-4461-6344-4102"
163,1014,7,2022,64642.77,9696.42,3232.14,4496,82067.32,6464.28,732.14,1901,9097.42,72969.91,"2022-07-25","2435-4461-6344-4102"
164,1014,8,2022,63655.36,9548.3,3182.77,2018,78404.43,6365.54,682.77,773,7821.3,70583.13,"2022-08-27","2435-4461-6344-4102"
165,1014,9,2022,68736.09,10310.41,3436.8,4292,86775.3,6873.61,936.8,672,8482.41,78292.89,"2022-09-25","2435-4461-6344-4102"
166,1014,10,2022,67198.42,10079.76,3359.92,2395,83033.11,6719.84,859.92,887,8466.76,74566.34,"2022-10-25","2435-4461-6344-4102"
167,1014,11,2022,69135.66,10370.35,3456.78,4339,87301.8,6913.57,956.78,1246,9116.35,78185.45,"2022-11-28","2435-4461-6344-4102"
168,1014,12,2022,64559.01,9683.85,3227.95,2864,80334.82,6455.9,727.95,1313,8496.85,71837.97,"2022-12-26","2435-4461-6344-4102"
169,1015,1,2022,28176.69,4226.5,1408.83,3419,37231.02,2817.67,0.0,1277,4094.67,33136.36,"2022-01-27","4688-9907-7237-8513"
170,1015,2,2022,28428.94,4264.34,1421.45,3991,38105.72,2842.89,0.0,1189,4031.89,34073.83,"2022-02-27","4688-9907-7237-8513"
171,1015,3,2022,27595.75,4139.36,1379.79,2133,35247.91,2759.58,0.0,912,3671.58,31576.33,"2022-03-27","4688-9907-7237-8513"
172,1015,4,2022,28326.59,4248.99,1416.33,4301,38292.91,2832.66,0.0,1475,4307.66,33985.25,"2022-04-25","4688-9907-7237-8513"
173,1015,5,2022,29864.14,4479.62,1493.21,4152,39988.96,2986.41,0.0,1259,4245.41,35743.55,"2022-05-28","4688-9907-7237-8513"
174,1015,6,2022,28107.34,4216.1,1405.37,4474,38202.81,2810.73,0.0,510,3320.73,34882.08,"2022-06-26","4688-9907-7237-8513"
175,1015,7,2022,28513.0,4276.95,1425.65,2226,36441.6,2851.3,0.0,1651,4502.3,31939.3,"2022-07-26","4688-9907-7237-8513"
176,1015,8,2022,27843.19,4176.48,1392.16,4367,37778.83,2784.32,0.0,1015,3799.32,33979.51,"2022-08-26","4688-9907-7237-8513"
177,1015,9,2022,28085.21,4212.78,1404.26,3713,37415.25,2808.52,0.0,1672,4480.52,32934.73,"2022-09-26","4688-9907-7237-8513"
178,1015,10,2022,28697.47,4304.62,1434.87,4309,38745.96,2869.75,0.0,1590,4459.75,34286.22,"2022-10-27","4688-9907-7237-8513"
179,1015,11,2022,28872.28,4330.84,1443.61,3130,37776.73,2887.23,0.0,1532,4419.23,33357.51,"2022-11-27","4688-9907-7237-8513"
180,1015,12,2022,28137.41,4220.61,1406.87,3895,37659.9,2813.74,0.0,892,3705.74,33954.16,"2022-12-28","4688-9907-7237-8513"
181,1016,1,2022,42658.61,6398.79,2132.93,3654,54844.33,4265.86,0.0,1387,5652.86,49191.47,"2022-01-28","6422-4912-6332-7006"
182,1016,2,2022,43666.67,6550.0,2183.33,4460,56860.01,4366.67,0.0,1666,6032.67,50827.34,"2022-02-25","6422-4912-6332-7006"
